R55CHEPSUM,,CHEP Summarization Report,,,,11/13/2023,12:24:44,,,,,,
VF075001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
         010,1009786,11809351,15877491,99112,CBP,CHEP BLOCK (MARK 55),121406,21,10/2/2023,,,,
         010,1009787,11809352,15877513,99113,CBP,CHEP BLOCK (MARK 55),121406,21,10/2/2023,,,,
         010,1009788,11809353,15877697,99114,CBP,CHEP BLOCK (MARK 55),121406,21,10/2/2023,,,,
         010,1009789,11809354,15877494,99115,CBP,CHEP BLOCK (MARK 55),121406,21,10/2/2023,,,,
         010,1009756,11809493,15880745,M473953-03,CBP,CHEP BLOCK (MARK 55),4000172402,14,10/12/2023,,,,
         010,1009761,11809524,15885095,L597697-01,CBP,CHEP BLOCK (MARK 55),103863,11,10/30/2023,,,,
         010,1009793,11809530,15882583,M473954-01,CBP,CHEP BLOCK (MARK 55),4000172402,7,10/19/2023,,,,
         010,1009796,11809531,15882628,M473954-03,CBP,CHEP BLOCK (MARK 55),4000172402,13,10/19/2023,,,,
         010,1009797,11809532,15884490,M473966-01,CBP,CHEP BLOCK (MARK 55),4000172402,5,10/26/2023,,,,
         010,1009794,11809552,15882584,M473954-01,CBP,CHEP BLOCK (MARK 55),4000172402,14,10/19/2023,,,,
         010,1009795,11809556,15882629,M473954-03,CBP,CHEP BLOCK (MARK 55),4000172402,13,10/19/2023,,,,
         010,1009798,11809560,15884491,M473966-01,CBP,CHEP BLOCK (MARK 55),4000172402,6,10/26/2023,,,,
         010,1009841,11809890,15880383,K127422-01,CBP,CHEP BLOCK (MARK 55),4000321090,15,10/11/2023,,,,
         010,1009842,11809897,15880384,K127422-01,CBP,CHEP BLOCK (MARK 55),4000321090,9,10/11/2023,,,,
         010,1009844,11809909,15880580,K127422-03,CBP,CHEP BLOCK (MARK 55),4000321090,12,10/12/2023,,,,
         010,1009845,11809910,15882238,K127433-01,CBP,CHEP BLOCK (MARK 55),4000321090,13,10/18/2023,,,,
         010,1009847,11809911,15881893,K127433-03,CBP,CHEP BLOCK (MARK 55),4000321090,11,10/17/2023,,,,
         010,1009850,11809912,15884083,K127447-01,CBP,CHEP BLOCK (MARK 55),4000321090,11,10/25/2023,,,,
         010,1009851,11809913,15884051,K127447-03,CBP,CHEP BLOCK (MARK 55),4000321090,12,10/25/2023,,,,
         010,1009852,11809914,15885101,K127455-01,CBP,CHEP BLOCK (MARK 55),4000321090,6,10/30/2023,,,,
         010,1009843,11809985,15880581,K127422-03,CBP,CHEP BLOCK (MARK 55),4000321090,7,10/12/2023,,,,
         010,1009846,11809987,15882239,K127433-01,CBP,CHEP BLOCK (MARK 55),4000321090,8,10/18/2023,,,,
         010,1009848,11809989,15881894,K127433-03,CBP,CHEP BLOCK (MARK 55),4000321090,6,10/17/2023,,,,
         010,1009849,11809991,15884084,K127447-01,CBP,CHEP BLOCK (MARK 55),4000321090,13,10/25/2023,,,,
         010,1009853,11809992,15885102,K127455-01,CBP,CHEP BLOCK (MARK 55),4000321090,3,10/30/2023,,,,
         010,1009859,11810008,15880434,789475,CBP,CHEP BLOCK (MARK 55),4000122853,20,10/11/2023,,,,
         010,1009865,11810014,15880244,789721,CBP,CHEP BLOCK (MARK 55),4000252179,22,10/10/2023,,,,
         010,1009869,11810195,15879713,789796,CBP,CHEP BLOCK (MARK 55),188317,17,10/9/2023,,,,
         010,1010350,11815128,15878670,428078,CBP,CHEP BLOCK (MARK 55),6100134492,19,10/5/2023,,,,
         010,1010348,11815133,15880919,428079,CBP,CHEP BLOCK (MARK 55),6100134492,19,10/12/2023,,,,
         010,1010345,11815136,15882110,428080,CBP,CHEP BLOCK (MARK 55),6100134492,19,10/18/2023,,,,
         010,1010349,11815137,15885666,428081,CBP,CHEP BLOCK (MARK 55),6100134492,19,10/31/2023,,,,
         010,1010355,11815219,15880724,806805,CBP,CHEP BLOCK (MARK 55),6100151533,14,10/12/2023,,,,
         010,1010356,11815220,15880204,806815,CBP,CHEP BLOCK (MARK 55),4000122853,8,10/10/2023,,,,
