R55CHEPSUM,,CHEP Summarization Report,,,,11/30/2023,12:43:08,,,,,,
VF060001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
60,6009264,11840147,15878526,81783,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/4/2023,,,,
60,6009265,11840148,15878468,81784,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/4/2023,,,,
60,6009266,11840149,15878549,81785,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/4/2023,,,,
60,6009268,11840151,15878554,81787,CBP,CHEP BLOCK (MARK 55),4000445826,24,10/4/2023,,,,
60,6009269,11840152,15878569,81788,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/4/2023,,,,
60,6009271,11840154,15878617,81790,CBP,CHEP BLOCK (MARK 55),4000445826,16,10/4/2023,,,,
60,6009272,11840155,15878621,81791,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/4/2023,,,,
60,6009274,11840157,15878640,81793,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/4/2023,,,,
60,6009275,11840158,15878665,81794,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/4/2023,,,,
60,6009276,11840159,15878659,81795,CBP,CHEP BLOCK (MARK 55),4000445826,19,10/4/2023,,,,
60,6009277,11840160,15878669,81796,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/4/2023,,,,
60,6009280,11840163,15878678,81798,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/4/2023,,,,
60,6009281,11840164,15878686,81799,CBP,CHEP BLOCK (MARK 55),4000445826,12,10/4/2023,,,,
60,6009283,11840166,15878350,81801,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/4/2023,,,,
60,6009284,11840167,15878693,81802,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/5/2023,,,,
60,6009286,11840170,15878731,81804,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/5/2023,,,,
60,6009288,11840172,15878753,81806,CBP,CHEP BLOCK (MARK 55),4000445826,7,10/5/2023,,,,
60,6009292,11840977,15878761,81823,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/5/2023,,,,
60,6009293,11840978,15878762,81824,CBP,CHEP BLOCK (MARK 55),4000445826,24,10/5/2023,,,,
60,6009294,11840979,15878787,81825,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/5/2023,,,,
60,6009295,11840980,15878788,81826,CBP,CHEP BLOCK (MARK 55),4000445826,16,10/5/2023,,,,
60,6009295,11840980,15878788,81826,CXY,CHEP CHEMICAL PALLET,4000445826,1,10/5/2023,,,,
60,6009296,11840981,15878799,81827,CBP,CHEP BLOCK (MARK 55),4000445826,12,10/5/2023,,,,
60,6009297,11840982,15878886,81828,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/5/2023,,,,
60,6009297,11840982,15878886,81828,CXY,CHEP CHEMICAL PALLET,4000445826,3,10/5/2023,,,,
60,6009299,11840985,15878896,81830,CBP,CHEP BLOCK (MARK 55),4000445826,22,10/5/2023,,,,
60,6009300,11840986,15878911,81831,CBP,CHEP BLOCK (MARK 55),4000445826,14,10/5/2023,,,,
60,6009300,11840986,15878911,81831,CXY,CHEP CHEMICAL PALLET,4000445826,1,10/5/2023,,,,
60,6009301,11840987,15878931,81832,CBP,CHEP BLOCK (MARK 55),4000445826,16,10/5/2023,,,,
60,6009301,11840987,15878931,81832,CXY,CHEP CHEMICAL PALLET,4000445826,2,10/5/2023,,,,
60,6009302,11840988,15878954,81833,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009304,11840990,15878979,81835,CBP,CHEP BLOCK (MARK 55),4000445826,16,10/5/2023,,,,
60,6009307,11841001,15878993,81837,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/5/2023,,,,
60,6009308,11841002,15879126,81838,CBP,CHEP BLOCK (MARK 55),4000445826,13,10/6/2023,,,,
60,6009309,11841003,15879018,81839,CBP,CHEP BLOCK (MARK 55),4000445826,18,10/5/2023,,,,
60,6009310,11841004,15879031,81840,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009311,11841006,15879034,81841,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/5/2023,,,,
60,6009312,11841009,15879047,81842,CBP,CHEP BLOCK (MARK 55),4000445826,12,10/5/2023,,,,
60,6009313,11841010,15879056,81843,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009314,11841011,15879071,81844,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009315,11841023,15879075,81845,CBP,CHEP BLOCK (MARK 55),4000445826,16,10/5/2023,,,,
60,6009316,11841024,15879080,81846,CBP,CHEP BLOCK (MARK 55),4000445826,9,10/5/2023,,,,
60,6009317,11841025,15879086,81847,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009318,11841039,15879097,81848,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/5/2023,,,,
60,6009318,11841039,15879097,81848,CXY,CHEP CHEMICAL PALLET,4000445826,1,10/5/2023,,,,
60,6009319,11841040,15879103,81849,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/6/2023,,,,
60,6009320,11841041,15879134,81850,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/6/2023,,,,
60,6009321,11841042,15879143,81851,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/6/2023,,,,
60,6009322,11841045,15878814,81852,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/5/2023,,,,
60,6009322,11841045,15878814,81852,CXY,CHEP CHEMICAL PALLET,4000445826,5,10/5/2023,,,,
60,6009324,11841047,15878843,81854,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009325,11841048,15878842,81855,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/5/2023,,,,
60,6009325,11841048,15878842,81855,CXY,CHEP CHEMICAL PALLET,4000445826,7,10/5/2023,,,,
60,6009326,11841049,15878882,81856,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009327,11841050,15879150,81857,CBP,CHEP BLOCK (MARK 55),4000445826,12,10/6/2023,,,,
60,6009328,11841052,15879154,81858,CBP,CHEP BLOCK (MARK 55),4000445826,24,10/6/2023,,,,
60,6009330,11841055,15879165,81860,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/6/2023,,,,
60,6009330,11841055,15879165,81860,CXY,CHEP CHEMICAL PALLET,4000445826,5,10/6/2023,,,,
60,6009331,11841056,15879177,81861,CBP,CHEP BLOCK (MARK 55),4000445826,14,10/6/2023,,,,
60,6009332,11841057,15879181,81862,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/6/2023,,,,
60,6009332,11841057,15879181,81862,CXY,CHEP CHEMICAL PALLET,4000445826,4,10/6/2023,,,,
60,6009333,11841058,15879189,81863,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/6/2023,,,,
60,6009333,11841058,15879189,81863,CXY,CHEP CHEMICAL PALLET,4000445826,11,10/6/2023,,,,
60,6009336,11841081,15879203,81866,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/6/2023,,,,
60,6009336,11841081,15879203,81866,CXY,CHEP CHEMICAL PALLET,4000445826,8,10/6/2023,,,,
60,6009341,11841452,15879217,81878,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/6/2023,,,,
60,6009342,11841453,15879225,81879,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/6/2023,,,,
60,6009342,11841453,15879225,81879,CXY,CHEP CHEMICAL PALLET,4000445826,8,10/6/2023,,,,
60,6009343,11841454,15879235,81880,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/6/2023,,,,
60,6009343,11841454,15879235,81880,CXY,CHEP CHEMICAL PALLET,4000445826,8,10/6/2023,,,,
60,6009344,11841455,15879238,81881,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/6/2023,,,,
60,6009344,11841455,15879238,81881,CXY,CHEP CHEMICAL PALLET,4000445826,6,10/6/2023,,,,
60,6009346,11841457,15879260,81883,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/6/2023,,,,
60,6009346,11841457,15879260,81883,CXY,CHEP CHEMICAL PALLET,4000445826,1,10/6/2023,,,,
