Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018365806
Invoice Date,25.11.2023
Invoice Period - From/To,19.11.2023,25.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13965,13817,97464.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023139084010,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603574300199,06031462,83058,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084009,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603574300200,06031463,83059,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084008,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603574300201,06031464,83060,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084007,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603574300202,06031466,83067,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084006,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603574300203,06031467,83062,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084005,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603574300204,06031468,83061,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084004,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603574300205,06031469,83066,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139084003,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603574300206,06031470,83064,21.11.2023,20.11.2023,20.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121758,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603575000178,06031532,83158,23.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121757,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603575000177,06031531,83157,23.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
