Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018231913
Invoice Date,07.10.2023
Invoice Period - From/To,01.10.2023,07.10.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13225,12480,91620.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023117972003,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603558400196,06030247,81708,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117972002,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603558400197,06030248,81714,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117972001,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,15,C,,,6603558400198,06030249,81711,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117972000,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,18,C,,,6603558400199,06030250,81713,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971999,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,18,C,,,6603558400200,06030251,81715,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971998,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,6,C,,,6603558400201,06030252,81717,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971997,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603558400202,06030253,81718,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023117971996,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603558400203,06030254,81719,03.10.2023,02.10.2023,02.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023408,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,9,C,,,6603559900267,06030290,81759,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023407,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559900268,06030291,81758,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023406,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603559900269,06030292,81757,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023405,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603559900270,06030293,81760,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023404,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,14,C,,,6603559900271,06030295,81764,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023403,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559900272,06030296,81765,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023402,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,16,C,,,6603559900273,06030298,81766,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119023401,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559900274,06030299,81768,05.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478833,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,24,C,,,6603559400255,06030262,81732,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478832,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603559400256,06030263,81731,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478831,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559400257,06030264,81730,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478830,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603559400258,06030265,81733,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478829,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603559400259,06030267,81735,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478828,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,11,C,,,6603559400260,06030268,81737,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478827,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603559400261,06030269,81734,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478826,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,12,C,,,6603559400262,06030272,81748,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478825,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,9,C,,,6603559400263,06030273,81749,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478824,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,9,C,,,6603559400264,06030275,81752,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478823,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603559400265,06030276,81751,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478822,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603559400266,06030277,81750,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478821,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603559400267,06030278,81741,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478820,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559400268,06030279,81762,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478819,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,20,C,,,6603559400269,06030280,81761,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
